PLAYER_NAME,TWITTER_COUNT_MIL,AGE,GP,Wins,L,Win_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,FGM,FG_PCT,SALARY_MIL,PTS
Russell Westbrook,4.5,28,81,46,35,0.568,34.6,107.9,104.6,3.3,0.543,1.92,824,0.425,26.54,31.6
Boban Marjanovic,0,28,35,16,19,0.457,8.4,104.3,102.4,1.9,0.054,0.9,72,0.545,7,5.5
Demetrius Jackson,0.049,22,5,1,4,0.2,3.4,124.2,117.8,6.3,0.3,0,3,0.75,1.45,2
Anthony Davis,1.22,24,75,31,44,0.413,36.1,104.2,102.5,1.7,0.11,0.87,770,0.505,22.12,28
James Harden,4.47,27,81,54,27,0.667,36.4,113.6,107.3,6.3,0.505,1.95,674,0.44,26.5,29.1
Kevin Durant,16.2,28,62,51,11,0.823,33.4,117.2,101.3,16,0.218,2.17,551,0.537,26.54,25.1
LeBron James,37,32,74,51,23,0.689,37.8,114.9,107.1,7.7,0.388,2.13,736,0.548,30.96,26.4
Chris Paul,6.4,32,61,43,18,0.705,31.5,116.2,101.3,14.9,0.444,3.83,374,0.476,22.87,18.1
DeMarcus Cousins,0.826,26,72,30,42,0.417,34.2,106.7,109,-2.2,0.262,1.23,647,0.452,16.96,24.4
Giannis Antetokounmpo,0.246,22,80,42,38,0.525,35.6,107.4,105.9,1.5,0.269,1.85,656,0.521,2.99,22.9
Kawhi Leonard,0.166,26,74,54,20,0.73,33.4,112.6,104,8.6,0.182,1.69,636,0.485,17.6,25.5
Joel Embiid,0.793,23,31,13,18,0.419,25.4,102.4,99.1,3.2,0.174,0.56,200,0.466,4.82,20.2
Karl-Anthony Towns,0.281,21,82,31,51,0.378,37,109.9,110.8,-0.9,0.127,1.04,802,0.542,5.7,25.1
Nikola Jokic,0.009,22,73,37,36,0.507,27.9,114.9,109.8,5.1,0.266,2.1,494,0.578,1.3,16.7
Jimmy Butler,0.469,27,76,40,36,0.526,37,106.4,103.4,3,0.243,2.62,570,0.455,16.4,23.9
Hassan Whiteside,0.164,28,77,39,38,0.506,32.6,106.6,105.3,1.3,0.037,0.37,542,0.557,22.12,17
Rudy Gobert,0.195,25,81,51,30,0.63,33.9,108.7,100.6,8.1,0.057,0.66,413,0.661,2.1,14
Isaiah Thomas,0.639,28,76,51,25,0.671,33.8,113.6,108.6,5,0.305,2.13,682,0.463,6.58,28.9
Mike Conley,0.342,29,69,35,34,0.507,33.2,108.6,105.5,3.1,0.329,2.78,464,0.46,26.54,20.5
Damian Lillard,1.34,26,75,38,37,0.507,35.9,110.1,108.9,1.2,0.277,2.23,661,0.444,24.33,27
Gordon Hayward,0.252,27,73,46,27,0.63,34.5,109.5,102.4,7.1,0.179,1.8,545,0.471,15.41,21.9
DeMar DeRozan,0.58,27,74,47,27,0.635,35.4,110.2,107,3.3,0.204,1.61,721,0.467,26.54,27.3
Joel Bolomboy,0.009,23,12,8,4,0.667,4.4,106.3,95,11.3,0.065,1,9,0.563,0.6,1.8
Enes Kanter,0.489,25,72,43,29,0.597,21.3,107.8,107.9,-0.1,0.078,0.54,402,0.545,17.15,14.3
John Wall,1.81,26,78,48,30,0.615,36.4,111.2,107.3,3.9,0.45,2.58,647,0.451,16.96,23.1
Blake Griffin,4.19,28,61,40,21,0.656,34,115.2,104.6,10.6,0.235,2.11,479,0.493,20,21.6
Zach Randolph,0.192,35,73,38,35,0.521,24.5,104.1,105.2,-1.1,0.131,1.23,433,0.449,10.36,14.1
Dwight Howard,6.97,31,74,37,37,0.5,29.7,101.1,103.1,-2,0.076,0.61,388,0.633,23.18,13.5
Stephen Curry,9.56,29,79,65,14,0.823,33.4,118.1,100.9,17.2,0.287,2.19,675,0.468,12.11,25.3
Marc Gasol,1.1,32,74,40,34,0.541,34.2,106.5,105.1,1.4,0.246,2.04,532,0.459,19.69,19.5
DeAndre Jordan,0.984,28,81,51,30,0.63,31.7,113.4,103.7,9.7,0.054,0.83,412,0.714,21.17,12.7
Kevin Love,2.55,28,60,40,20,0.667,31.4,113.2,106,7.2,0.093,0.95,370,0.427,21.17,19
Kyle Lowry,0.589,31,60,36,24,0.6,37.4,112.8,104.6,8.2,0.293,2.41,426,0.464,12,22.4
Pau Gasol,6.38,36,64,47,17,0.734,25.4,110.7,104,6.8,0.143,1.85,303,0.502,7.45,12.4
Nikola Vucevic,0.038,26,75,27,48,0.36,28.8,102.5,106.1,-3.6,0.157,1.78,483,0.468,12,14.6
Eric Bledsoe,0.199,27,66,22,44,0.333,33,106.1,110.2,-4.1,0.309,1.87,449,0.434,14,21.1
Greg Monroe,0.0369,27,81,42,39,0.519,22.5,110.1,106.4,3.7,0.165,1.34,387,0.533,17.15,11.7
Edy Tavares,0.008,25,2,1,1,0.5,13.8,108.2,93,15.2,0.071,0.5,4,0.8,1,6
Josh Huestis,0.013,25,2,0,2,0,15.4,111.3,104.9,6.4,0.115,0,6,0.545,1.14,7
